File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,intro(Game game),15,15,6,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,debug(Game game),3,3,3,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,"printLine(string filename, int line)",23,21,19,3,2,4,0,19,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,cmd_save_game(Game game),36,32,32,2,2,0,2,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,cmd_load_game(Game& game),38,31,31,2,5,0,2,5,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,"verbTree(EnumVerb verb, EnumNoun noun, Game& game)",25,25,16,9,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,"askTree(EnumNoun noun,Game& game)",17,17,11,4,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,"lookTree(EnumNoun noun,Game& game)",8,8,5,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,"cmd_hit(EnumNoun noun, Game& game)",37,37,29,8,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,cmd_ask_name(Game& game),18,18,15,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,cmd_ask_capture(Game& game),35,35,32,4,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,cmd_ask_accent(Game& game),24,24,22,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,cmd_look_suspect(Game& game),16,16,15,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\cmdtree.cpp,"timeout(Game& game, EnumVerb& verb)",25,24,18,2,1,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Dice.cpp,Dice<string>::parseDice(),10,10,10,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Dice.cpp,Dice<string>::roll(string in),11,11,10,2,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Game.cpp,Game::~Game(),1,1,1,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Game.cpp,Game::showStats(),10,10,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\gamestate.cpp,startClock(),3,3,3,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\main.cpp,main(),15,15,15,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\main.cpp,"parse(string cmd,EnumNoun &noun,EnumVerb &verb)",9,9,9,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\main.cpp,getinput(string& cmd),8,8,8,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Noun.cpp,Noun::Noun(string in_noun),2,2,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Noun.cpp,Noun::~Noun(),1,1,1,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Noun.cpp,Noun::parseNoun(),14,13,12,1,1,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Noun.cpp,Noun::getNounEnum(),2,2,2,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.cpp,ParseCmd::ParseCmd(string command),11,10,9,1,1,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.cpp,ParseCmd::getNoun(),2,2,2,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.cpp,ParseCmd::getVerb(),2,2,2,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.cpp,ParseCmd::isValid(),2,2,2,1,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\ParseCmd.cpp,ParseCmd::~ParseCmd(),1,1,1,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Suspect.cpp,Suspect::Suspect(),23,23,20,3,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Suspect.cpp,Suspect::~Suspect(),1,1,1,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Verb.cpp,Verb::Verb(string in_verb),2,2,2,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Verb.cpp,Verb::~Verb(),1,1,1,0,0,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Verb.cpp,Verb::parseVerb(),21,20,19,1,1,0,0,0,
C:\Users\Bradley Evans\Desktop\RCC\14FAL\CSC17A\GitHub\EvansBradley_CIS17a_48130\Evans Bradley CSC17A Project 2\Verb.cpp,Verb::getVerbEnum(),2,2,2,1,0,0,0,0,
